Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
Sfax El Jadida,Vente,App. 3 pièc,Appart s2 a nassriya,185000.0,2024-04-12,Bas,185000.0,185000.0,Appartement,3.0,,150
El Aouina,Vente,App. 3 pièc,Appt s plus 2 à el aouin,220000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,3.0,,150
El Aouina,Vente,App. 1 pièc,S1 neuf direct promoteur,169000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,1.0,,150
El Mourouj,Vente,Duplex,Villa mourouj 01,500000.0,2024-04-12,Moyen-Haut,4922000.0,273444.44444444444,Autre,4.0,,150
Cite Du Stade,Vente,Autre,Réf 80v terrain clôturé aux l,950000.0,2024-04-12,Haut,950000.0,950000.0,Autre,5.0,,300
Carthage,Vente,Maisons,Une villa à quelques mèt,3100000.0,2024-04-12,Haut,11600000.0,5800000.0,Villa,5.0,,300
La Goulette Por,Vente,App. 4 pièc,Appartement s3 avec une,680000.0,2024-04-12,Moyen-Haut,680000.0,680000.0,Appartement,4.0,,300
Naassen,Vente,Maisons,Maison naassen,240000.0,2024-04-12,Moyen-Bas,1160000.0,580000.0,Maison,3.0,,150
El Hessiene,Vente,Maisons,Villa haut standing,1150000.0,2024-04-12,Haut,1150000.0,1150000.0,Villa,5.0,,300
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1950000.0,2024-04-12,Haut,3950000.0,1975000.0,Villa,5.0,,300
Dar Allouche,Vente,Maisons,Charmante villa avec pis,550000.0,2024-04-12,Moyen-Haut,550000.0,550000.0,Villa,4.0,,300
Hammamet,Vente,App. 4 pièc,Appartement hela à yasmi,460000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Appartement,4.0,,150
El Mourouj,Vente,Maisons,Villa mourouj 6,750000.0,2024-04-12,Moyen-Haut,4922000.0,273444.44444444444,Villa,4.0,,300
Hammamet,Vente,Maisons,Villa   salvador,990000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
La Soukra,Vente,Maisons,Villa haut standing à la souk,1450000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Villa,5.0,,300
La Soukra,Vente,Maisons,Villa neuve la soukra st,1480000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Villa,5.0,,300
Cite Ennkhilet,Vente,Maisons,appartement s3   cit r,295000.0,2024-04-12,Moyen-Bas,505000.0,252500.0,Maison,3.0,,150
Cite El Khalil,Vente,Maisons,Maison usage commercial,540000.0,2024-04-12,Moyen-Haut,540000.0,540000.0,Villa,4.0,,300
Bou Mhel,Vente,Maisons,Maisons s2 boumhal bassa,248000.0,2024-04-12,Moyen-Bas,403000.0,201500.0,Maison,3.0,,150
El Manar 2,Vente,Maisons,Magnifique villa au calm,2500000.0,2024-04-12,Haut,4720000.0,1573333.3333333333,Villa,5.0,,300
Akouda,Vente,App. 5 pièc,Petit immeuble r plu,1550000.0,2024-04-12,Haut,1550000.0,1550000.0,Appartement,5.0,,300
El Manar 2,Vente,Maisons,Villa 2s7 à el manar 3,1800000.0,2024-04-12,Haut,4720000.0,1573333.3333333333,Villa,5.0,,300
Hammamet,Vente,Maisons,V479 villa hanin 2 sud v,850000.0,2024-04-12,Moyen-Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
